Grade,Review,type
4,"벼르던 다이슨 라방보고 주문했어요.
색상도 고급지고 디자인도 맘에 들어요
사이즈도 생각보다 작아 좋지만
성능이 좋은거 맞나 의구심이 드네요
맨날 실내공기 맑음.좋음만 나오더라구요.
그다지 안 좋은거 같은데.~~
미세먼지 극성인 봄되면 진가를 알게되겠죠.",dyson
4,"처음으로 공청기를 비싼거를 사봤네요.
에어로타워를 살까 고민하다가 라방종료 3분전에 구입했는데 당첨까지 됐습니다.기분이 좋네요.
다이슨이 우리집 공기를 지켜줬으면 좋겠습니다.
일단 디자인이 갑입니다. 돌쟁이 아가가 있어서 날개없는 선풍기 원했는데 겸사겸사네요.",dyson
4,"오자마자 조립?해서 사용했습니다.
행사해서 그냥공청기보다 저렴해사 이모델로 구매했네요
고기 꾸우니깐 열일 하드라구요..
아직 막 너무좋다까진아닌데 창문열고 생활하는 때가 오면 어떨런지 기대되네요
아 소음은 고기 꾸울때는 열일하느라 쫌 났습니다",dyson
4,"에너지등급 표시가 없어서 조금 아쉽지만 새집증후군에 효과가 있을까싶어 구매해봅니다.
박스 개봉흔적이 있어서 찝찝했는데 새상품이라고하니 그대로 사용합니다.
인테리어 공사한 집인데 새집증후군 수치가 처음부터 좋음으로 떠서 의심스럽긴하지만 음식을 하면 또 수치가 높아지니 조금 더 지켜봐야할 거 같아요.
제발 효과가 있길 바랍니다.",dyson
4,"침실에 두고 싶었는데 침실에 두면 소음이 제법 크게 들려 거실로 빼두었어요
오토로 설정해두면 조금 시끄럽고 1-2 정도로 해두면 신경 쓰이지 않아요
처음에는 해당 모델에서는 화이트가 없어 너무 아쉬운 마음만 들었는데 보다 보니 골드도 마음에 들어서 만족하고 있어요",dyson
4,"11월11일 주문, 16일 받았어요. 먼저 다이슨홈페이지보다 저렴하면서 필터주는 조건은 똑같아 너무 좋아요.
어디하나 흠집없는 깨끗한 제품왔구요. 제품등록하고 핸드폰연동하니 너무편하네요. 여름엔 써큘레이터처럼 겨울엔 방향바꾸면 바람이 느껴지지않아 신기하네요.사계절 우리집 지킴이♡
디자인은 말해무엇합니까~최고!!
(오토,회전으로 해놨을때 공기가 오토센서기준 좋아지면, 회전,바람멈춤니다.당황하지마셔요 ㅎㅎ)",dyson
4,"코로나 걸리고 코가 너무 막혀서 구매 햇어요 ㅜㅜ
아직격리중인데 배송도 빠르고 키자마자 열일하고 있네요
앱연동해서 이용하기도 편리하고 오토모드 소음이 조금 심하긴 한데 공기 질이 좋아질수록 작아지네요
세일할때 잘 구매했어요",dyson
4,"한대 사서써보고 디자인이 너무이뻐서 두대 더구매했습니다
두대더사니 되팔렘인줄알고 배송을안해주셨지만 고객센터 연결후 배송받았습니다 개인적으로 돈얼마 남겨먹자고 되파는인간들 극혐
디자인 너무예쁘고 성능도좋네요 지출은컸지만 충분히만족합니다
필터도 추가로주셔서 감사해요",dyson
4,"디자인이쁘고 기능좋아요ㅎ
필터가격이 저렴해지면 좋겠어요!",dyson
4,빠른 배송 감사 합니다. 성능 좋고 예쁘고 가격만 착했으면 하는 바램입니다. 많이 파세요,dyson
4,이사갈집이 새집이라 포름알데하이드 걱정되서 99.9를 믿고 구매했어요. 운전시 소음은 좀 있는데 원래 목적에 잘 맞게 열일해주길 ~,dyson
4,"제품 다 뜯어서 조립하는데 안쪽에 스크래치가 있어서 별하나 뺍니다.
교환할까 하다가 부피가 큰 제품이라 귀찮아서 그냥 씁니다ㅠ 검수 좀 하고 발송해 주세요.",dyson
4,"좋아요!!! 새집증후군이 있을까봐 미리 구매해서 사용했는데, 마음에 드네요~
다만 ㅠ 사고 나서 얼마 안있어서 할인을 하더라는.. 항상 그런 것 같아요~ ㅎㅎ 사고 나면 이벤트 할인! ㅠ 그 사이에 잘 썼으니 그걸로 만족 합니다.",dyson
4,다른 공기청정기처럼 미세하게 퉁퉁거리는 팬소리가 안나서 좋습니다. 바람소리가 백색소음 같아서 오히려 좋네요 어플도 편해요,dyson
4,디자인이쁘고 좋네요 단 소음이 생각보다 큽니다,dyson
4,디자인보고 샀어요. 워낙 가격은 고가지만...생각보다 작아요. 넓은 거실에 두기엔 좀 작은듯합니다. 성능은 잘 모르겠고...명성만큼 기대해봅니다.,dyson
4,유일한 단점은 소음뿐이에요 야간모드 설정시 소음이 줄어드는데 바로적용은 안되고 시간이 한참 걸려서 별한개 뺐어요. 그외에 모든점은 만족합니다.,dyson
4,만족합니다 너무 이쁘기도 하고 선풍기.역할도 하니 최고네요,dyson
4,좋아요 잘쓸게요 유격있지만 교환받기로했습니다,dyson
4,새집 집뜰이 선물로 구매했습니다 디자인이 맘에 들어 구매했구요 필터가 한개이고 몇평형대에 맞는지가 안나와 있는게 조금 아쉽습니다,dyson
4,"일단 디자인이 멋있어요^^
국산 제품은 막 ~~수치가 작동하는데 다이슨은 작동하는지 모르겠지만 ㅡ 부피도 작고 다이슨의 명성을 믿어보려고요",dyson
4,서비스도 좋고 만족하고 사용중입니다. 교체는 한번 받았지만 만족해요,dyson
4,디자인 만족~ 생각보다 내구성이 약한듯 보여서 불안하긴한데 예뻐요. 모든 공기질이 며칠째 계속 좋음이라 문제가 있는건지 진짜 저희집 공기가 좋은건지 모르겠어요. 요리하거나 해도 그냥 늘 좋음이에요,dyson
4,"아기가 곧 생길거라 큰 맘 먹고 구매했어요~
강아지도 같이 살고 있고하니 집안 공기를 잘 잡아줬으면 하는 바람입니다.
다 좋은데, 역시나 사악한 가격은 어쩔수 없군요 ㅠㅡㅜ",dyson
4,최근 욕실 수리하고 냄새가 염려되어서 구매했어요 포름알데히드 제거한다고 해서 쓰고 있는데... 잘 제거된다고 믿어야겠죠~^^ 다이슨 제품 가격이 워낙 비싸서... 그래도 필터 추가 있을 때 샀어요,dyson
4,거추장스럽지않아서좋은것같아요.아직은 좀더사용해봐야알겠지만 새집증후군때문에 구매했는데 잘모르겠어요.포름알데히드제거가되는지는,dyson
4,"생각보다 오염된 공기에 대해 잘 잡아서 청정해주는 느낌입니다
이번에 이사를 해서 새집 냄새가 있는데 이것도 잘 잡아줄지 모르겠네요~",dyson
4,새집에 이사와서 걱정되는 마음에 주문했는데 포름알데히드 수치가 정상으로 나와서 작동이 잘되고 있는건지 의문은드네요,dyson
4,"좋아요~ 처음에 좋다고만뜨길래 이상한건가 했는데, 어플 사용하니 디테일하게 확인되어 믿음가요~",dyson
4,"워낙 유명한 제품이라 믿고씁니다.
할인에 추가필터도 받아서 저렴하게 잘산듯하네요",dyson
4,"어느 공간에 놓아도 잘 어울려요, 깨끗한 공기를 기대하며 구매 만족합니다.",dyson
4,배송은 엄청 빨라서 좋은데요 박스가 좀 그렇네요 선물할껀데ㅠㅜ아쉬워요,dyson
4,이쁘고 좋아요~근데 밤에 수면모드도 시끄러워서 자다가 끄고잤어요ㅜㅜ,dyson
4,"지인 개업선물로 구매 했는데 만족합니다
다만 비싼점이 약간의 흠",dyson
4,아직 처음이라 잘 모르겠지만 좋은거같습니다.잘 쓸게요~,dyson
4,"선물로.사줬는데
특급빠른배송과 마음에 들어해요",dyson
4,의외로 소음이있어요 거실에서쓰려구요,dyson
4,배송이 빠르고 좋아요 잘받았습니다,dyson
4,사용해봐야겠알겠지만 만족합니다~,dyson
4,크기도 적당하고 작동도 잘 됩니다.,dyson
4,다이슨이라서 믿고 구매했어요,dyson
4,소음이 좀 심해요ㅠ,dyson
4,디자인이 마음에 들고 잘 작동합니다. 다만 조금 시끄럽습니다,dyson
4,생각보다 조용하고 디자인이 예뻐요. 배송도 빠르고 좋았어요.,dyson
4,우선 디자인 이 참 좋아요. 아직 그렇다할 만한 성능을 모르겠구요.. 움~~디테일함은 정말 좋아요,dyson
4,엄청 사고싶었는데 니켈이랑화이트랑 고민하다 니켈품절이라 그냥 화이트로 주문했어요..틀자마나 난리나더니 30분쯤지나니까 조용해지내요^^;; 기존에있던 우리집공기청정기는 아무반응 없었는데 뭐가 맞은건지..^^;;,dyson
4,"잘받아서 설치완료
더써봐야알겠지만 폰으로연동해서
편리하네요",dyson
4,좋은데 안방에 놓고자몀 왜 공기가 더워지는거 같죠? 거참나 ..,dyson
4,"배송은 빠르게왔는데..
긁히는 기계음이 들렸다말았다 하네요.,",dyson
4,효과잇는지 잘 모르겠지만 만족해용 잘쓰는중,dyson
4,아직 사용해보진 않아서..잘받았습니다~,dyson
4,깔끔하고 새집증후군 효과있을듯?,dyson
4,생각보단아쉽지만역시다이슨,dyson
4,가격빼곤 좋습니다^^,dyson
4,배송 : 보통 / 제품 : 좋음,dyson
4,"주문후 3일차에 받았어요. 집이 화이트톤인데 실버원했지만, 새집이라. .프롬알데히드 정화기능이 있대서 본 디자인을 선택했어요. 디자인 만족합니다. 정품등록후 앱으로 편리하게 사용하고자해요.",dyson
4,"이쁘네요.
너무 크지 않아 공간도 많이 차지 않아서 좋아요..",dyson
4,"역시 다이슨이네요
디자인도 이쁘고
갖고 싶었던 다이슨
너무좋아요",dyson
4,검수를 제대로 해야 하겠습니다. 반품 된건지 원래 그런건지는 모르겠지만 때가 여기저기 있는 상태 입니다. 지워는져서 그냥 쓰긴 하는데 썩 기분이 좋지 못하네요.,dyson
4,잘 받았습니다 빠른 배송 감사드리구요 1+1 행사 잘 받아서 기분이 좋네요 잘쓸게여,dyson
4,음.. 냉정하게 디자인 예쁘고 특이한 거 말고는 성능에 대해선 그닥..,dyson
4,공기 상태에 별 반응이 없긴한데 ㅠ 잘 되고 있는진 아직 모르겠어요 더 지켜봐야겠어요 그래도 다이슨이니까 믿고 구매,dyson
4,전체적으로 기분이 좋은 공기를 사용 할 수 있다는 느낌이 듬,dyson
4,배송은3일 정도이고 백화점대비 저렴하게 잘 샀습니다,dyson
4,"생각보다 크기도 크지 않고
거실 한켠에 놓기 괜찮습니다
고양이 두마리 길러서 구입했어요
잘 쓰고 있습니다",dyson
4,좋아요 쓸만합니다 다음에도 구매가능,dyson
4,"상품, 배송 만족합니다
다만 제가 원한색상이 품절돼서 별 하나 뺐습니다",dyson
4,배송이 빨라서 좋았어요,dyson
4,소음이 조금 큽니다,dyson
4,쿨 기능 사용시 10단을 하지 않으면 바람이 많이 약함.. 10단 사용시 소음이 있음.. 그 외 모든것이 좋음 역시 다이슨,dyson
4,"리모콘 자석이 그리 단단치 않아 떨어져
벌써 청정기 윗부분에 스크래치가 났네요 ㅠ
오늘 오픈박스에 좋은 공기질 기대해봅니다",dyson
4,새로 산 옷징이 E0인데도 눈이 따꺼웠는데 이 청정기 틀은 뒤로는 견딜만 해졌어요 그래서 하나 더 삿습니다,dyson
4,새집 입주선물로 구매했어요.인테리어효과도있고 기능은 좋길 기대합니다,dyson
5,"스마트한 공기청정기! 역시 다이슨입니다.
믿고쓰는 다이슨 , 청소기입문하여 미세먼지에 알러지비염까지 있는탓에 올봄 면역력이 떨어졌는지 유난히 증세가 심해서 가격은 부담스럽지만 핫딜로 세일된 가격에 사서 너무 좋네요.
오토모드해두면 따로 설정 신경쓸필요가 업구요
바람세기, 방향, 타이머 등 리모콘으로 컨트롤이 가능합니다. 쿨기능 있어서 선풍기까지 덤이니 유용하게 사용할듯요~

옮겨다니기엔 편하지만 2살짜리 자꾸 잡고흔든다능ㅜㅜ 흔들려서 넘어질것같아요..
유아있는집은 조심해서 쓰셔야할듯요



미세먼지,꽃가루, 포름알데히드, 합성화학물질, 이산화질소, 온도, 습도 모두 모니터에 표시되네요

기능 !",dyson
5,배송도 빠르고 안전하게 무사히 도착했어요! 무엇보다 다이슨 공기청정기 덕분에 인테리어 비용없이도 집안 분위기가 살아나서 좋습니다. 어플로 어디서나 공기질제어 모니터링 가능한거 너무 좋아요. 리모콘은 너무 귀엽고 앙증맞아요 요즘 공기가 걱정인데 구매잘한거 같아요!!,dyson
5,"일단 배송 빠르구요, 포장상태도 단단히 잘 되어서 왔어요.개인적으로 스티로폼 잔뜩 들어있는 포장형태가 싫었는데, 종이틀로 잘 싸여 포장되어 있더라구요.포장 뜯자마자 생각보다 조립 쉬워서 금새 완성해서 작동해보았어요.말 많던 소음은 지금 집에 있는 블루에어도 단계 높여 돌릴 땐 큰 편이어서 거슬리지 않았어요.기본적으로 오토모드일 땐 기본소음정도 였어요.마침 공기 나쁜 날 와줘서 시험 작동 잘 했네요.생각보다 더 빠르게 오염된 실내공기를 잘 잡아주구요. 작동상태 보여주는 디스플레이 모니터도 아기자기하게 상태를 잘 알려주어서 좋았어요.선풍기 기능은 흠..그냥 그래요.시원하려면 좀 시끄러워지면 되요.그리고 무게가 7.7킬로라는데 돌쟁이 아이보다 가벼운 게 맞지만, 전 무거웠어요;;;그래도 전반적으로 만족해요.디자인이 예쁘기도 하고 포름알데히드도 잡아준다구 하고 기본적인 공청기 기능도 잘 하고 가격도 쿠폰 먹여서 60만원 후반대로 그럭저럭 잘 샀어요.(급히 필요했기에 이정도 가격도 메리트 넘치지 말입니다.^^:)",dyson
5,"배송 아주 빠름 !!

신축 아파트 이사와서 베이크아웃도 제대로 못한터라 .. 보일러를 틀면 눈이 따갑고 몸이 안좋아지는거 같더라구요 기존에 있었던 공기청정기는 평수에 맞지 않아서 고민하던 차에 이 제품을 알게되었습니다 반영구적인 필터에 새집증후군에 좋다고해서 고민안하고 구입했어요
공기청정기가 너무 크면 ..인테리어에 방해되는것도 있는데 다이슨은 역시나 .. 고급스럽고 부담스러운 느낌이 아닙니다

앱을 연동해서 조절하는것도 편해요
방향조잘이 360 돌아가서 온 집안을 깨끗한 공기로 정화하는 기분입니다

카드할인 받고 .. 배송 왔을때 여자 혼자서도 쉽게 조립하고 설치 할 수 있답니다 !!",dyson
5,크기가 생각대로 크긴한데 디자인이 깔쌈?해서 집 한가운데에 세워둬도 거슬리지않네요. 바람세기 조절 가능하고 최고로 높이면 거의 선풍기 대용으로 써도 될 정도로 강풍이 불어요. 성능도 나쁘지않고 여러모로 잘쓰고 있습니다. 근데 설치를 기사님이 해주시나 했는데 저희가 직접하는 거 더군요! 암튼 잘쓰겠습니다~,dyson
5,"저희집에 두번째 다이슨공기청정기입니다^^
한대로 쓰다 한대 더 있음 좋을꺼같아 구매했어요
배송 칼이네요 주문하고 다음날 바로도착😍 감동입니다ㅋ
그전에 쓰던건 초창기 모델이라 표시창이 없어 좀 답당햇는데 새로산건 앱도 있고 자체에도 표시창이 잇으니 답답함해소 만족이예요ㅋ
오자마자 오토로 돌렸더니 10으로 해서 계속 돌아가네요 10단계까지 하니 좀 시끄럽긴해요
단계 낮춰서 돌리는중입니다
^^",dyson
5,"아기가 태어나서 공기청정기
한대 더 필요해서 알아보던 중 포름알데히드 제거가 된다고하여 구매하게되었어요 자동모드로 했을때 강도3단계부터는 약간의 소음이 있기는하지만 공기정화가 되고나서는 켜져있는지도 모르게 소음은 사라져요 다만 정화될 때 선풍기바람이 같이나와서 요즘같은 겨울에는 집안 공기온도가 낮아지긴해요 그래도 이쁘니까 저는 만족합니다",dyson
5,"배송도 빠르구용 ~
생각햇던것보다 금색이 고급스럽게 이뻐서 만족이요! ㅎㅎ 이사계획중이라 이사가면 사려다가 시기가 늦어져서 미리 구입햇는데 너무 이뻐용 ㅎㅎ 공기도 갑자기 더 맑아진 기분이라 더 좋네요 ㅎㅎ
원래 비염이 심해서 공기청정기 중요시 하다가 얼마전에 바리고 바꿀계획 하다가 산건데 ㅎㅎ
역시 신혼살림은 다이슨이네요 ㅎㅎ
^^*",dyson
5,"공기청정기가 필요해서 여러브랜드를 고민중
다이슨으로 선택했는데 잘한 선택 같아요.
일단 가볍고 외관이 깔끔하고 인테리어 효과도 있어서
좋구요.
관리하기도 편하고 앱이랑도 연동되어서 편리한 것 같아요.
너무 !",dyson
5,"결제 하자마자:담날 바로 도착했어요
너무 너무 사고 싶었는데.. 디잔 부터 성능까지
역시 다쓴이에요 필터 장착도 쉽고 소음이 있다는 말에 걱정했는데 전 모르겠네요 다른제품들도 다 이정돈 있지않나요 어플과도 연결하여 실내공기질 상태를 수시로 모니터링 할 수 있어 참 편리하네요",dyson
5,"거실하고 부엌에 두려고 2개 샀습니다
조용하도 관리도 쉽게 생겨서 매우 만족해요
필터교체도 정말 쉽겠더라구요
에어랩이랑 청소기 쓰고 맘에 들어서 쿨 공청기도 샀는데 역시 좋네요
선풍기 따로 안둬서 되서 더욱 좋구요
방에 둘것도 추가로 살까봐요",dyson
5,"누나 이사 선물로 사줬어요~
너무 마음에 든다네요.
새집이라 새집 증후군 때문에 선물해 줬는데
다른 제품에 비해서 다이슨 제품이 제일 나은 것 같아요.
새집이 아니라면 꼭 살 필요는 없겠지만,
새집으로 이사 할 경우 새집에서 나오는 유해물질들 까지도 걸러 준다고 하니깐 ^ ^",dyson
5,재택 근무로 방에만 있다보니 창문을 열어 놓고 있으려니 왠지 찝찝해서 한꺼번에 2개 장만 이젠 다이닝에 하나 거실하나 큰애 작은애 막둥이 까지 총 5개가 되었네요 요즘 슬슬 더워지니 선풍기 역할도 하니 너무 좋아요 다만 하루 종일 틀어보니 새로 구입한 한개에서 고주파가 나오는데 요건 나중에 교환신청해야 할것 같아요,dyson
5,"초반에는 성능에 대해 의구심이 들었는데
한달 써보니 이래서 다이슨 하는구나 했어요.
주방에서 음식을 하거나, 밖에 미세먼지가 심한날은
실내 공기도 딱 안좋아지더라구요
그럴때마다 다이슨이 열일하며 청정으로 바꿔놓네요.
덕분에 올 봄 미세먼지도 실내에선 걱정없습니다.
곧 이사갈 동생도 사주고 싶은데
제가 구매했을때보다 무려 20이나 올랐네요 👀
라방 특가 기회 다시 노려야겠습니다.",dyson
5,"새집으로 이사오면서 2월달부터 구매하려고 했는데 품절이라서 기다리고 있었어요
역시 ssg에서 할인 왕창 들어간 금액으로 3월초에 나오자마자 바로 구매했습니다!
바람세기 10까지 있어서 너무 좋아요!
360도 회전되서 멀리멀리까지 퍼지는거 같아요.
포름알데히드가 제일 걱정 되었는데 항상 수치 확인 가능해서 안심입니다.
혹시나
하자수리 할때 수치 확 올라가는거보고 믿음이 생겼습니다!
아기집에 정말 필수에요~~^^",dyson
5,2년전에 구입했는데 그전 모델은 포름알데이드제품은 아니지만 아주 만족하게 사용하고 있었습니다. 매장에서 사용하고 있는데 1년전에 매장옆 에어컨 실외기에서 전기합선으로 불이 났는데 매장 안으로 유해가스가 유입되니 자동으로 알아서 작동된것을 보고 더욱 믿게 되었습니다. 그때 이후 잘 쓰고 있는데 요즘들어 바람세기 약해져서 이참에 하나더 구입하고 하나는 AS받으려고 업그레이드 제품으로 구입했습니다.,dyson
